,chroma_stft,spectral_centroid,spectral_bandwidth,spectral_rolloff,zero_crossing_rate,chroma_cqt,chroma_cens,melspectrogram,mfcc,rms,spectral_contrast,poly_features,tonnetz,tempogram,music
51,0.5587808000000001,3418.003016128402,3124.787421621851,6639.243186738101,0.10288502243002463,0.5572471999999999,0.2698369143196043,12.407917,6.559680999999999,0.28044450000000004,18.345603946937548,4.768136849270246,-0.0005346082415824123,0.3012256232376093,331-Run Through the Jungle.wav
52,0.38531122,2651.611865436261,3153.644186646691,5828.23975743155,0.05961447736989532,0.38511702,0.23455380035118664,2.324541,-0.7508656,0.10683086,21.538035422164796,1.3164992479681208,0.01809284002381597,0.23203000121517955,65-Chicago.wav
53,0.47280340000000004,3300.5241797283174,3308.57543038952,6400.569629964444,0.07956078045253187,0.51369137,0.2607955884859753,0.9501871,-10.730761,0.060809935999999995,19.306525200604373,0.6547198888280512,-0.00011038602710191987,0.10392153221632852,149-God Save the Queen.wav
54,0.34063455,2779.8285571345923,3070.6083817366575,5871.30616368155,0.0627857195509783,0.5114892,0.2692746059305535,4.541796700000001,-1.8949213,0.14469899,21.09223399386504,1.5499743715364698,-0.007469418834139697,0.18553953786215496,214-De Kleine Man.wav
55,0.50834256,2653.3224635078795,2767.1035189052723,5346.6426695832515,0.07013409749864859,0.4874634,0.2563340628321784,11.38529,3.221727,0.23957699999999998,19.571652071092604,3.2602883605005,0.0063523711391888175,0.23716585343258906,282-Open Letter.wav
56,0.36080229999999996,2245.1949390226105,2713.062850837971,4760.196215744727,0.05199045407636739,0.39971212,0.22040566380789384,8.125742,1.6833932,0.19653517,21.71037068028237,2.4299413202471487,0.058357762039320873,0.2672371828412639,123-The Fletcher Memorial Home.wav
57,0.40714023,2438.9402140993147,2756.4879839551472,5092.885870682566,0.05743528112999585,0.41304659999999993,0.2312073621993672,9.784487,-0.75903076,0.22186622,21.257275450033074,2.855431864578543,0.06768042409054342,0.2630933001832324,172-Hunger Strike.wav
58,0.36478034,2511.741609630232,2908.5975621371254,5112.069088017608,0.06235573176639076,0.53190386,0.2640357998790264,6.9055614,-2.2651793999999996,0.19222319,20.29871030917212,2.641805528179645,0.008116120646541634,0.2171573717622391,407-Volunteers.wav
59,0.5547473,2421.4872534764304,2674.350722107453,4765.496183696546,0.06098545558574307,0.5003726,0.2543872392077749,17.29158,7.1294436,0.3035888,18.16116422683453,4.391124828221107,-0.005050898642234737,0.2960203963699097,169-Holidays in the Sun.wav
60,0.26170203,2001.0869663686105,2031.101882907676,3511.953763696062,0.054088863615621686,0.33355808,0.2200897574531404,2.495526,-6.8761434999999995,0.11636374,23.747718562479445,1.1723657118326651,0.017697689780245194,0.2762127924548645,382-This Is England.wav
61,0.45594979999999996,2878.821974635664,3241.0831083116664,6206.745801990615,0.06758579747688549,0.4796464,0.2589655669182569,4.302938,3.5953635999999998,0.1518969,20.160256129475233,2.161457408812364,0.006435364904266838,0.22885812246399215,296-People Have the Power.wav
